,open,high,low,close,volume,open_interest,expiry,RSI
2021-07-23 09:15:00,34800.0,34842.0,34693.1,34829.65,138775.0,2046725.0,,59.51548098639628
2021-07-23 09:20:00,34828.75,34892.0,34828.75,34855.1,64625.0,2059350.0,,62.27664960468368
2021-07-23 09:25:00,34855.8,34885.0,34816.35,34824.7,75900.0,2050575.0,,57.25349624405113
2021-07-23 09:30:00,34812.0,34814.95,34422.8,34520.05,426125.0,2077450.0,,30.60883247339244
2021-07-23 09:35:00,34514.45,34604.05,34490.0,34530.0,197150.0,2176825.0,,31.72638441127511
2021-07-23 09:40:00,34530.85,34555.95,34480.4,34480.4,48550.0,2185400.0,,29.201658066819526
2021-07-23 09:45:00,34479.0,34597.25,34405.5,34575.0,200850.0,2164900.0,,39.147987093778305
2021-07-23 09:50:00,34575.0,34765.0,34575.0,34759.15,171250.0,2043350.0,,52.99236404942105
2021-07-23 09:55:00,34768.0,34833.05,34768.0,34819.85,155725.0,1976050.0,,56.50504723513469
2021-07-23 10:00:00,34816.3,34824.0,34770.55,34786.45,58625.0,1951100.0,,54.109067821200995
2021-07-23 10:05:00,34789.8,34803.2,34752.7,34775.6,40250.0,1946075.0,,53.31813653088406
2021-07-23 10:10:00,34775.6,34920.0,34775.0,34920.0,134900.0,1902150.0,,61.40410371091568
2021-07-23 10:15:00,34922.75,34955.7,34894.95,34914.5,243550.0,1923975.0,,60.97090553925042
2021-07-23 10:20:00,34912.4,34919.0,34882.0,34904.45,132725.0,1884625.0,,60.136048408542486
2021-07-23 10:25:00,34903.0,34919.0,34856.1,34893.15,84175.0,1845975.0,,59.15524972800038
2021-07-23 10:30:00,34893.15,34896.7,34841.4,34860.0,35200.0,1842050.0,,56.256520649490696
2021-07-23 10:35:00,34858.0,34858.65,34786.0,34798.85,47250.0,1843000.0,,51.26604687847291
2021-07-23 10:40:00,34800.05,34847.1,34724.85,34740.25,68675.0,1846650.0,,46.96631628160947
2021-07-23 10:45:00,34746.0,34788.0,34717.0,34739.0,68300.0,1855775.0,,46.87600145458779
2021-07-23 10:50:00,34732.0,34732.75,34665.25,34714.55,60175.0,1874250.0,,45.05113201613887
2021-07-23 10:55:00,34714.55,34791.0,34710.05,34757.9,51725.0,1880775.0,,48.85299424564871
